1000 1	9.26e-07 2.15983e+09
2000 1	1.725e-06 2.31884e+09
3000 1	2.681e-06 2.23797e+09
4000 1	5.044e-06 1.58604e+09
5000 1	9.253e-06 1.08073e+09
6000 1	7.892e-06 1.52053e+09
7000 1	5.613e-06 2.49421e+09
8000 1	6.93e-06 2.3088e+09
9000 1	6.765e-06 2.66075e+09
10000 1	1.1186e-05 1.78795e+09
20000 1	4.2458e-05 9.42107e+08
30000 1	3.4336e-05 1.74744e+09
40000 1	7.0815e-05 1.1297e+09
50000 1	7.1435e-05 1.39987e+09
60000 1	6.8447e-05 1.75318e+09
70000 1	6.4108e-05 2.18381e+09
80000 1	8.1197e-05 1.97052e+09
90000 1	0.000694632 2.5913e+08
100000 1	0.00060124 3.32646e+08
200000 1	0.00148996 2.68464e+08
300000 1	0.00127455 4.70755e+08
400000 1	0.00329533 2.42768e+08
500000 1	0.00449524 2.22458e+08
600000 1	0.00263082 4.56131e+08
700000 1	0.00496465 2.81994e+08
800000 1	0.00666883 2.39922e+08
900000 1	0.00373121 4.82417e+08
1000000 1	0.00444607 4.49835e+08
2000000 1	0.0136949 2.9208e+08
3000000 1	0.0231081 2.5965e+08
4000000 1	0.0218164 3.66696e+08
5000000 1	0.0358687 2.78794e+08
6000000 1	0.0417018 2.87757e+08
7000000 1	0.0461324 3.03474e+08
8000000 1	0.0529067 3.02419e+08
9000000 1	0.0571126 3.15167e+08
